beam_id,time_s,displacement_mm,force_N
6,41.10,1.3624,186.7
6,41.20,1.3654,187.1
6,41.30,1.3691,187.7
6,41.40,1.3731,188.4
6,41.50,1.3763,188.8
6,41.60,1.3796,189.3
6,41.70,1.3832,189.9
6,41.80,1.3866,190.4
6,41.90,1.3899,190.8
6,42.00,1.3929,191.3
6,42.10,1.3959,191.7
6,42.20,1.3991,192.2
6,42.30,1.4029,192.8
6,42.40,1.4072,193.5
6,42.50,1.4103,193.9
6,42.60,1.4128,194.2
6,42.70,1.4155,194.6
6,42.80,1.4186,195.1
6,42.90,1.4224,195.7
6,43.00,1.4259,196.2
6,43.10,1.4290,196.7
6,43.20,1.4324,197.2
6,43.30,1.4361,197.8
6,43.40,1.4395,198.3
6,43.50,1.4429,198.8
6,43.60,1.4461,199.3
6,43.70,1.4493,199.7
6,43.80,1.4529,200.3
6,43.90,1.4571,200.9
6,44.00,1.4609,201.5
6,44.10,1.4636,201.8
6,44.20,1.4661,202.2
6,44.30,1.4689,202.6
6,44.40,1.4722,203.1
6,44.50,1.4758,203.7
6,44.60,1.4792,204.2
6,44.70,1.4824,204.7
6,44.80,1.4860,205.2
6,44.90,1.4896,205.8
6,45.00,1.4931,206.3
6,45.10,1.4965,206.8
6,45.20,1.4994,207.2
6,45.30,1.5025,207.6
6,45.40,1.5062,208.2
6,45.50,1.5104,208.9
6,45.60,1.5137,209.3
6,45.70,1.5162,209.7
6,45.80,1.5188,210.1
6,45.90,1.5218,210.5
6,46.00,1.5253,211.1
6,46.10,1.5289,211.6
6,46.20,1.5323,212.1
6,46.30,1.5357,212.7
6,46.40,1.5396,213.3
6,46.50,1.5431,213.8
6,46.60,1.5465,214.3
6,46.70,1.5496,214.7
6,46.80,1.5525,215.1
6,46.90,1.5556,215.6
6,47.00,1.5596,216.2
6,47.10,1.5637,216.9
6,47.20,1.5669,217.3
6,47.30,1.5695,217.7
6,47.40,1.5723,218.0
6,47.50,1.5756,218.6
6,47.60,1.5796,219.2
6,47.70,1.5831,219.7
6,47.80,1.5863,220.2
6,47.90,1.5897,220.7
6,48.00,1.5934,221.2
6,48.10,1.5966,221.7
6,48.20,1.5997,222.2
6,48.30,1.6027,222.6
6,48.40,1.6058,223.1
6,48.50,1.6092,223.6
6,48.60,1.6133,224.3
6,48.70,1.6172,224.8
6,48.80,1.6200,225.2
6,48.90,1.6226,225.6
6,49.00,1.6255,225.9
6,49.10,1.6289,226.5
6,49.20,1.6326,227.1
6,49.30,1.6359,227.5
6,49.40,1.6390,228.0
6,49.50,1.6425,228.5
6,49.60,1.6460,229.1
6,49.70,1.6495,229.6
6,49.80,1.6528,230.1
6,49.90,1.6559,230.5
6,50.00,1.6592,231.0
6,50.10,1.6631,231.6
6,50.20,1.6674,232.3
6,50.30,1.6707,232.8
6,50.40,1.6733,233.1
6,50.50,1.6758,233.4
6,50.60,1.6788,233.9
6,50.70,1.6824,234.4
6,50.80,1.6861,235.1
6,50.90,1.6894,235.5
6,51.00,1.6927,236.0
6,51.10,1.6963,236.6
6,51.20,1.7000,237.1
6,51.30,1.7033,237.6
6,51.40,1.7064,238.0
6,51.50,1.7094,238.5
6,51.60,1.7128,239.0
6,51.70,1.7167,239.6
6,51.80,1.7205,240.2
6,51.90,1.7232,240.5
6,52.00,1.7258,240.9
6,52.10,1.7285,241.3
6,52.20,1.7318,241.8
6,52.30,1.7356,242.4
6,52.40,1.7391,242.9
6,52.50,1.7424,243.4
6,52.60,1.7461,244.0
6,52.70,1.7498,244.5
6,52.80,1.7532,245.0
6,52.90,1.7564,245.5
6,53.00,1.7594,245.9
6,53.10,1.7624,246.3
6,53.20,1.7659,246.9
6,53.30,1.7699,247.5
6,53.40,1.7737,248.1
6,53.50,1.7765,248.5
6,53.60,1.7791,248.8
6,53.70,1.7821,249.3
6,53.80,1.7857,249.8
6,53.90,1.7895,250.4
6,54.00,1.7929,250.9
6,54.10,1.7963,251.4
6,54.20,1.8000,252.0
6,54.30,1.8034,252.5
6,54.40,1.8066,252.9
6,54.50,1.8097,253.4
6,54.60,1.8126,253.8
6,54.70,1.8158,254.3
6,54.80,1.8196,254.9
6,54.90,1.8236,255.5
6,55.00,1.8268,255.9
6,55.10,1.8295,256.3
6,55.20,1.8322,256.7
6,55.30,1.8353,257.1
6,55.40,1.8390,257.7
6,55.50,1.8426,258.2
6,55.60,1.8457,258.7
6,55.70,1.8490,259.2
6,55.80,1.8526,259.7
6,55.90,1.8561,260.3
6,56.00,1.8595,260.7
6,56.10,1.8627,261.2
6,56.20,1.8659,261.7
6,56.30,1.8695,262.2
6,56.40,1.8736,262.9
6,56.50,1.8775,263.4
6,56.60,1.8802,263.8
6,56.70,1.8827,264.1
6,56.80,1.8854,264.5
6,56.90,1.8886,265.0
6,57.00,1.8926,265.6
6,57.10,1.8961,266.2
6,57.20,1.8993,266.6
6,57.30,1.9028,267.2
6,57.40,1.9065,267.7
6,57.50,1.9100,268.2
6,57.60,1.9132,268.7
6,57.70,1.9163,269.1
6,57.80,1.9195,269.5
6,57.90,1.9231,270.1
6,58.00,1.9270,270.7
6,58.10,1.9302,271.2
6,58.20,1.9328,271.5
6,58.30,1.9354,271.9
6,58.40,1.9385,272.3
6,58.50,1.9421,272.9
6,58.60,1.9458,273.5
6,58.70,1.9491,273.9
6,58.80,1.9526,274.5
6,58.90,1.9563,275.0
6,59.00,1.9599,275.5
6,59.10,1.9633,276.0
6,59.20,1.9664,276.4
6,59.30,1.9693,276.9
6,59.40,1.9726,277.3
6,59.50,1.9764,277.9
6,59.60,1.9804,278.6
6,59.70,1.9836,279.0
6,59.80,1.9861,279.3
6,59.90,1.9889,279.7
6,60.00,1.9922,280.2
6,60.10,1.9961,280.8
6,60.20,1.9997,281.3
6,60.30,2.0029,281.8
6,60.40,2.0064,282.3
6,60.50,2.0099,282.8
6,60.60,2.0131,283.3
6,60.70,2.0163,283.7
6,60.80,2.0192,284.2
6,60.90,2.0223,284.6
6,61.00,2.0258,285.1
6,61.10,2.0299,285.8
6,61.20,2.0338,286.4
6,61.30,2.0366,286.7
6,61.40,2.0392,287.1
6,61.50,2.0421,287.5
6,61.60,2.0456,288.0
6,61.70,2.0494,288.6
6,61.80,2.0526,289.0
6,61.90,2.0557,289.4
6,62.00,2.0592,289.9
6,62.10,2.0627,290.5
6,62.20,2.0662,291.0
6,62.30,2.0696,291.5
6,62.40,2.0728,291.9
6,62.50,2.0761,292.4
6,62.60,2.0801,293.0
6,62.70,2.0843,293.6
6,62.80,2.0874,294.0
6,62.90,2.0898,294.3
6,63.00,2.0924,294.6
6,63.10,2.0954,295.1
6,63.20,2.0990,295.6
6,63.30,2.1025,296.1
6,63.40,2.1057,296.6
6,63.50,2.1091,297.1
6,63.60,2.1128,297.6
6,63.70,2.1164,298.1
6,63.80,2.1200,298.6
6,63.90,2.1232,299.0
6,64.00,2.1261,299.4
6,64.10,2.1294,299.8
6,64.20,2.1332,300.3
6,64.30,2.1370,300.8
6,64.40,2.1398,301.2
6,64.50,2.1424,301.5
6,64.60,2.1451,301.8
6,64.70,2.1484,302.3
6,64.80,2.1521,302.9
6,64.90,2.1557,303.4
6,65.00,2.1591,303.9
6,65.10,2.1627,304.5
6,65.20,2.1666,305.0
6,65.30,2.1701,305.5
6,65.40,2.1734,306.0
6,65.50,2.1764,306.4
6,65.60,2.1793,306.8
6,65.70,2.1828,307.3
6,65.80,2.1868,308.0
6,65.90,2.1904,308.5
6,66.00,2.1932,308.9
6,66.10,2.1957,309.3
6,66.20,2.1987,309.7
6,66.30,2.2023,310.3
6,66.40,2.2062,310.9
6,66.50,2.2095,311.4
6,66.60,2.2128,311.8
6,66.70,2.2163,312.4
6,66.80,2.2198,312.9
6,66.90,2.2231,313.4
6,67.00,2.2262,313.8
6,67.10,2.2292,314.3
6,67.20,2.2324,314.7
6,67.30,2.2362,315.3
6,67.40,2.2404,316.0
6,67.50,2.2436,316.4
6,67.60,2.2462,316.7
6,67.70,2.2489,317.1
6,67.80,2.2520,317.5
6,67.90,2.2558,318.1
6,68.00,2.2594,318.6
6,68.10,2.2626,319.1
6,68.20,2.2660,319.6
6,68.30,2.2695,320.1
6,68.40,2.2730,320.6
6,68.50,2.2764,321.1
6,68.60,2.2796,321.5
6,68.70,2.2827,322.0
6,68.80,2.2863,322.5
6,68.90,2.2905,323.1
6,69.00,2.2942,323.7
6,69.10,2.2969,324.0
6,69.20,2.2994,324.3
6,69.30,2.3022,324.7
6,69.40,2.3054,325.1
6,69.50,2.3090,325.7
6,69.60,2.3124,326.2
6,69.70,2.3157,326.7
6,69.80,2.3192,327.2
6,69.90,2.3228,327.7
6,70.00,2.3264,328.2
6,70.10,2.3297,328.7
6,70.20,2.3327,329.1
6,70.30,2.3359,329.6
6,70.40,2.3397,330.2
6,70.50,2.3439,330.8
6,70.60,2.3472,331.2
6,70.70,2.3496,331.5
6,70.80,2.3521,331.9
6,70.90,2.3551,332.3
6,71.00,2.3587,332.9
6,71.10,2.3626,333.4
6,71.20,2.3660,333.9
6,71.30,2.3694,334.4
6,71.40,2.3731,334.9
6,71.50,2.3766,335.4
6,71.60,2.3800,335.9
6,71.70,2.3831,336.2
6,71.80,2.3861,336.7
6,71.90,2.3893,337.1
6,72.00,2.3930,337.7
6,72.10,2.3969,338.2
6,72.20,2.4002,338.7
6,72.30,2.4028,339.0
6,72.40,2.4055,339.4
6,72.50,2.4087,339.8
6,72.60,2.4126,340.4
6,72.70,2.4162,341.0
6,72.80,2.4195,341.4
6,72.90,2.4229,341.9
6,73.00,2.4265,342.4
6,73.10,2.4299,342.9
6,73.20,2.4330,343.3
6,73.30,2.4359,343.7
6,73.40,2.4389,344.1
6,73.50,2.4423,344.6
6,73.60,2.4464,345.2
6,73.70,2.4503,345.8
